"";0.0;1.3
"la";1.3;1.66
"";1.66;1.7
"roue";1.7;2.06
"";2.06;2.2
"sur";2.2;2.57
"";2.57;2.6
"la";2.6;2.9
"";2.9;2.96
"rue";2.96;3.31
"";3.31;3.55
"roule";3.55;3.92
"";3.92;4.5
"la";4.5;4.79
"";4.79;4.84
"rue";4.84;5.23
"";5.23;5.42
"sous";5.42;5.71
"l";5.71;5.81
"	";5.81;6.081355924156853
"sous";6.081355924156853;6.505625708388196
"";6.505625708388196;6.6487528645144325
"sous";6.6487528645144325;6.873666966998519
"la";6.873666966998519;7.12
"roue";7.12;7.4
"";7.4;7.63
"reste";7.63;8.11
"";8.11;8.405624