"";0.0;0.68
"la";0.68;0.99
"roue";0.99;1.26
"";1.26;1.29
"sur";1.29;1.66
"la";1.66;1.8876858716479414
"roue";1.8876858716479414;2.036461716988814
"";2.036461716988814;2.3950496519129687
"rue";2.3950496519129687;2.711675168920467
"";2.711675168920467;2.833747657405286
"roule";2.833747657405286;3.2114094186551934
"";3.2114094186551934;3.4097772124430237
"la";3.4097772124430237;3.7035141378596186
"rue";3.7035141378596186;3.890437635851997
"sous";3.890437635851997;4.134582612821633
"la";4.134582612821633;4.226136979185248
"";4.226136979185248;4.28
"roue";4.28;4.62
"";4.62;4.67
"reste";4.67;5.16
"";5.16;5.526349