"";0.0;2.4571817172087123
"la";2.4571817172087123;2.742279342059034
"roue";2.742279342059034;2.936664086275162
"sur";2.936664086275162;3.2217617111254837
"la";3.2217617111254837;3.4377447602545153
"rue";3.4377447602545153;3.683965436261611
"";3.683965436261611;3.843792892617094
"roule";3.843792892617094;4.254160685962254
"";4.254160685962254;4.617012208499026
"la";4.617012208499026;4.78115932583709
"rue";4.78115932583709;4.966904748088058
"sous";4.966904748088058;5.148330509356444
"la";5.148330509356444;5.377272541433217
"roue";5.377272541433217;5.541419658771281
"reste";5.541419658771281;5.960426774081602
"";5.960426774081602;6.257778